Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,season_end_year,season
Detroit Pistons (1),11,2,0.846,—,118.2,112.2,5.22,East,2026,2025-26
New York Knicks (2),8,4,0.667,2.5,122.1,115.3,6.6,East,2026,2025-26
Atlanta Hawks (3),9,5,0.643,2.5,117.6,114.0,3.27,East,2026,2025-26
Cleveland Cavaliers (4),9,5,0.643,2.5,121.1,116.9,5.02,East,2026,2025-26
Toronto Raptors (5),8,5,0.615,3.0,120.5,115.7,4.43,East,2026,2025-26
Philadelphia 76ers (6),7,5,0.583,3.5,119.3,116.6,3.44,East,2026,2025-26
Milwaukee Bucks (7),8,6,0.571,3.5,118.4,118.8,-1.54,East,2026,2025-26
Miami Heat (8),7,6,0.538,4.0,125.3,122.2,5.22,East,2026,2025-26
Chicago Bulls (9),6,6,0.5,4.5,121.0,121.5,1.95,East,2026,2025-26
Boston Celtics (10),7,7,0.5,4.5,113.8,109.2,4.72,East,2026,2025-26
Orlando Magic (11),7,7,0.5,4.5,115.5,114.0,2.98,East,2026,2025-26
Charlotte Hornets (12),4,9,0.308,7.0,117.2,120.5,-4.24,East,2026,2025-26
Brooklyn Nets (13),2,11,0.154,9.0,110.5,121.9,-10.18,East,2026,2025-26
Indiana Pacers (14),1,12,0.077,10.0,108.7,123.2,-14.09,East,2026,2025-26
Washington Wizards (15),1,12,0.077,10.0,112.9,129.6,-15.27,East,2026,2025-26
Oklahoma City Thunder (1),13,1,0.929,—,121.6,106.2,11.12,West,2026,2025-26
Denver Nuggets (2),10,2,0.833,2.0,124.4,111.3,10.8,West,2026,2025-26
Houston Rockets (3),9,3,0.75,3.0,124.8,113.3,10.96,West,2026,2025-26
Los Angeles Lakers (4),10,4,0.714,3.0,116.3,114.4,2.08,West,2026,2025-26
San Antonio Spurs (5),9,4,0.692,3.5,118.8,112.1,5.04,West,2026,2025-26
Minnesota Timberwolves (6),8,5,0.615,4.5,120.7,115.8,3.31,West,2026,2025-26
Golden State Warriors (7),9,6,0.6,4.5,115.7,114.0,0.88,West,2026,2025-26
Phoenix Suns (8),8,6,0.571,5.0,118.8,114.4,0.99,West,2026,2025-26
Portland Trail Blazers (9),6,7,0.462,6.5,121.5,122.2,1.01,West,2026,2025-26
Utah Jazz (10),5,8,0.385,7.5,118.9,123.7,-5.11,West,2026,2025-26
Los Angeles Clippers (11),4,9,0.308,8.5,112.0,116.8,-3.59,West,2026,2025-26
Memphis Grizzlies (12),4,10,0.286,9.0,111.9,119.8,-6.25,West,2026,2025-26
Dallas Mavericks (13),4,10,0.286,9.0,111.3,117.0,-7.79,West,2026,2025-26
Sacramento Kings (14),3,11,0.214,10.0,112.9,124.4,-7.29,West,2026,2025-26
New Orleans Pelicans (15),2,11,0.154,10.5,108.2,121.5,-11.78,West,2026,2025-26
